bonus|defPlayer1|defPlayersOnCourt|defTeam|gameEvent|gameId|gameType|isCharge|isPutback|neutralFloor|offPlayer1|offPlayer2|offPlayersOnCourt|offTeam|segment|shotType|shotValue|team0|team1|turnoverType|valueToAdd|violationType|x|y
||1627783,1629018,1630551,1629004,1630625|1610612761|3FG_ATTEMPT|1|time||false|false|1629645||1628021,1629645,1630227,1630224,1630528|1610612745||ARC_3|3|1610612761|1610612745||||-117|236
||1627783,1629018,1630551,1629004,1630625|1610612761|3FG_MISS|1|time|||false|1629645||1628021,1629645,1630227,1630224,1630528|1610612745||ARC_3|3|1610612761|1610612745||||-117|236
|1629018|1627783,1629018,1630551,1629004,1630625|1610612761|DEFENSIVE_REBOUND|1|time|||false|||1628021,1629645,1630227,1630224,1630528|1610612745||||1610612761|1610612745||1|||
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_ATTEMPT|1|time||false|false|1629018||1627783,1629018,1630551,1629004,1630625|1610612761||AT_RIM|2|1610612761|1610612745||||12|17
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_MADE|1|time||false|false|1629018|1630625|1627783,1629018,1630551,1629004,1630625|1610612761||AT_RIM|2|1610612761|1610612745||2||12|17
|1629004|1627783,1629018,1630551,1629004,1630625|1610612761|NON_SHOOTING_DEFENSIVE_FOUL|1|time|||false|1630227||1628021,1629645,1630227,1630224,1630528|1610612745|0|||1610612761|1610612745|||||
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_ATTEMPT|1|time||false|false|1630528||1628021,1629645,1630227,1630224,1630528|1610612745||LONG_MID_RANGE|2|1610612761|1610612745||||112|180
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_MADE|1|time||false|false|1630528||1628021,1629645,1630227,1630224,1630528|1610612745||LONG_MID_RANGE|2|1610612761|1610612745||2||112|180
||1628021,1629645,1630227,1630224,1630528|1610612745|3FG_ATTEMPT|1|time||false|false|1629004||1627783,1629018,1630551,1629004,1630625|1610612761||ARC_3|3|1610612761|1610612745||||-171|262
||1628021,1629645,1630227,1630224,1630528|1610612745|3FG_MADE|1|time||false|false|1629004|1629018|1627783,1629018,1630551,1629004,1630625|1610612761||ARC_3|3|1610612761|1610612745||3||-171|262
||1627783,1629018,1630551,1629004,1630625|1610612761|3FG_ATTEMPT|1|time||false|false|1630224||1628021,1629645,1630227,1630224,1630528|1610612745||ARC_3|3|1610612761|1610612745||||163|178
||1627783,1629018,1630551,1629004,1630625|1610612761|3FG_MISS|1|time|||false|1630224||1628021,1629645,1630227,1630224,1630528|1610612745||ARC_3|3|1610612761|1610612745||||163|178
|1630625|1627783,1629018,1630551,1629004,1630625|1610612761|DEFENSIVE_REBOUND|1|time|||false|||1628021,1629645,1630227,1630224,1630528|1610612745||||1610612761|1610612745||1|||
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_ATTEMPT|1|time||false|false|1629018||1627783,1629018,1630551,1629004,1630625|1610612761||SHORT_MID_RANGE|2|1610612761|1610612745||||-52|68
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_MADE|1|time||false|false|1629018||1627783,1629018,1630551,1629004,1630625|1610612761||SHORT_MID_RANGE|2|1610612761|1610612745||2||-52|68
||1627783,1629018,1630551,1629004,1630625|1610612761|TURNOVER|1|time|||false|1630528||1628021,1629645,1630227,1630224,1630528|1610612745||||1610612761|1610612745|TRAVEL|1|||
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_ATTEMPT|1|time||false|false|1630625||1627783,1629018,1630551,1629004,1630625|1610612761||SHORT_MID_RANGE|2|1610612761|1610612745||||-110|27
